5752 distinct characters collected so far.
The 650 most frequent ones are:
不 (U+4E0D: bù   ): 30271 (1.39%)
了 (U+4E86: le   ): 29357 (1.35%)
一 (U+4E00: yī   ): 27940 (1.29%)
道 (U+9053: dào  ): 27030 (1.24%)
来 (U+6765: lái  ): 24042 (1.11%)
人 (U+4EBA: rén  ): 21954 (1.01%)
是 (U+662F: shì  ): 18201 (0.84%)
我 (U+6211: wǒ   ): 16983 (0.78%)
的 (U+7684: de   ): 16465 (0.76%)
个 (U+4E2A: gè   ): 15245 (0.70%)
那 (U+90A3: nà   ): 14780 (0.68%)
有 (U+6709: yǒu  ): 14692 (0.68%)
大 (U+5927: dà   ): 14685 (0.68%)
去 (U+53BB: qù   ): 13601 (0.63%)
上 (U+4E0A: shàng): 13585 (0.63%)
之 (U+4E4B: zhī  ): 13379 (0.62%)
你 (U+4F60: nǐ   ): 12877 (0.59%)
见 (U+89C1: jiàn ): 12680 (0.58%)
他 (U+4ED6: tā   ): 12576 (0.58%)
下 (U+4E0B: xià  ): 12074 (0.56%)
得 (U+5F97: de   ): 11718 (0.54%)
说 (U+8BF4: shuō ): 11428 (0.53%)
在 (U+5728: zài  ): 11380 (0.52%)
这 (U+8FD9: zhè  ): 11324 (0.52%)
将 (U+5C06: jiāng): 10657 (0.49%)
里 (U+91CC: lǐ   ): 10634 (0.49%)
子 (U+5B50: zi   ): 10353 (0.48%)
只 (U+53EA: zhǐ  ): 10116 (0.47%)
军 (U+519B: jūn  ): 9798 (0.45%)
马 (U+9A6C: mǎ   ): 9618 (0.44%)
也 (U+4E5F: yě   ): 9610 (0.44%)
曰 (U+66F0: yuē  ): 9197 (0.42%)
出 (U+51FA: chū  ): 9043 (0.42%)
行 (U+884C: xíng ): 8957 (0.41%)
三 (U+4E09: sān  ): 8434 (0.39%)
此 (U+6B64: cǐ   ): 8223 (0.38%)
中 (U+4E2D: zhōng): 8192 (0.38%)
着 (U+7740: zhe  ): 8191 (0.38%)
又 (U+53C8: yòu  ): 8029 (0.37%)
兵 (U+5175: bīng ): 7541 (0.35%)
时 (U+65F6: shí  ): 7529 (0.35%)
日 (U+65E5: rì   ): 7471 (0.34%)
便 (U+4FBF: biàn ): 7444 (0.34%)
知 (U+77E5: zhī  ): 7408 (0.34%)
回 (U+56DE: huí  ): 7143 (0.33%)
到 (U+5230: dào  ): 6956 (0.32%)
如 (U+5982: rú   ): 6908 (0.32%)
头 (U+5934: tóu  ): 6902 (0.32%)
与 (U+4E0E: yǔ   ): 6793 (0.31%)
两 (U+4E24: liǎng): 6784 (0.31%)
天 (U+5929: tiān ): 6758 (0.31%)
山 (U+5C71: shān ): 6704 (0.31%)
小 (U+5C0F: xiǎo ): 6622 (0.30%)
前 (U+524D: qián ): 6591 (0.30%)
者 (U+8005: zhě  ): 6574 (0.30%)
何 (U+4F55: hé   ): 6345 (0.29%)
却 (U+5374: què  ): 6195 (0.29%)
都 (U+90FD: dōu  ): 6099 (0.28%)
自 (U+81EA: zì   ): 6077 (0.28%)
二 (U+4E8C: èr   ): 6063 (0.28%)
王 (U+738B: wáng ): 6014 (0.28%)
看 (U+770B: kàn  ): 5975 (0.27%)
儿 (U+513F: ér   ): 5814 (0.27%)
老 (U+8001: lǎo  ): 5783 (0.27%)
为 (U+4E3A: wèi  ): 5756 (0.26%)
好 (U+597D: hǎo  ): 5742 (0.26%)
后 (U+540E: hòu  ): 5610 (0.26%)
今 (U+4ECA: jīn  ): 5525 (0.25%)
可 (U+53EF: kě   ): 5403 (0.25%)
